Date,Close,High,Low,Open,Volume,MA20,MA50,MA200
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,
2020-07-17,2060.914306640625,2101.322463437344,2050.8942305527125,2094.8609810087823,4509135,2014.6314331054687,1928.095078125,
2020-07-20,2067.610107421875,2085.402848840684,2051.5967773217158,2061.1486243578024,2952646,2023.2697509765626,1934.1684814453124,
2020-07-21,2083.670654296875,2096.4063748655735,2061.2891200526824,2088.3060862065845,2665286,2032.3677124023438,1939.7823901367187,
2020-07-22,2051.737548828125,2089.242827745661,2045.4164421103826,2089.242827745661,2861534,2039.5466857910155,1944.493056640625,
2020-07-23,2033.2423095703125,2051.737398238834,2025.5633817727744,2051.737398238834,2265766,2047.0202392578126,1948.8310278320312,
2020-07-24,2020.3192138671875,2025.5634826196629,1990.0717312639756,2017.6035706445045,3665100,2049.0473205566404,1953.7918505859375,
2020-07-27,2066.580322265625,2074.259249835132,2026.0315517012677,2027.4362419381764,4248480,2054.191021728516,1959.8539721679688,
2020-07-28,2162.989013671875,2172.587731017967,2074.2594069848265,2074.2594069848265,8092319,2065.0661865234374,1966.8623388671874,
2020-07-29,2131.43017578125,2193.1896771118154,2103.336371206803,2146.3666694877375,6090431,2073.9008666992186,1973.1826977539063,
2020-07-30,2134.660888671875,2208.1730096460983,2127.871552658332,2140.654142115403,7098496,2079.8557739257812,1979.4754418945313,
2020-07-31,2136.440185546875,2186.447296858708,2114.0120097268823,2156.808194674914,4723290,2083.9140869140624,1985.10318359375,
2020-08-03,2110.921630859375,2157.4638848745176,2088.961685285286,2144.915181240771,4012337,2083.7275146484376,1989.6774194335937,
2020-08-04,2106.754150390625,2125.4364828543585,2083.6705013722894,2116.3528660016805,2927928,2083.019567871094,1995.6095288085937,
2020-08-05,2115.931640625,2153.858275475769,2109.8446498464814,2116.399870684886,3800641,2085.153125,2000.564384765625,
2020-08-06,2161.44384765625,2172.1194023298976,2121.410174688109,2130.446924035575,4748047,2090.2420288085937,2006.448115234375,
2020-08-07,2149.50341796875,2180.0787436046508,2141.6838860068024,2161.349544776432,3165491,2093.8930053710938,2012.6883471679687,
2020-08-10,2137.7509765625,2177.2695436287995,2131.429871435836,2170.7143234974437,2929353,2097.066125488281,2017.335224609375,
2020-08-11,2135.03515625,2165.0956150204474,2131.008560975627,2137.938273828582,2774423,2102.348278808594,2021.8923803710939,
2020-08-12,2113.918212890625,2150.4867954177375,2103.804398493122,2142.9484748192685,3415751,2103.6803955078126,2025.933759765625,
2020-08-13,2111.202880859375,2153.85869331564,2107.5039083942816,2128.5742651767173,2695682,2104.60283203125,2029.0724291992187,
2020-08-14,2099.68408203125,2136.3466349214495,2091.209300381739,2132.319810458494,2270405,2106.5413208007812,2032.7898852539063,
2020-08-17,2110.218994140625,2125.764322487526,2096.0317157743193,2119.209102109811,2625630,2108.671765136719,2036.2788842773436,
2020-08-18,2125.52978515625,2143.556637613242,2105.442766715467,2119.0214347999545,3493374,2110.7647216796877,2040.0684912109375,
2020-08-19,2113.216064453125,2139.436948634661,2109.376486389642,2131.7111524026013,2843005,2113.8386474609374,2042.9260083007812,
2020-08-20,2109.704345703125,2131.898405588545,2097.7176100272795,2113.5905638842464,2895164,2117.661749267578,2046.481337890625,
2020-08-21,2105.724365234375,2126.7009809488673,2098.654045441779,2116.399919394293,1975294,2121.9320068359375,2050.483115234375,
2020-08-24,2105.255859375,2116.352773419225,2088.3058415862874,2107.5970094216214,2167966,2123.8657836914062,2054.654921875,
2020-08-25,2100.15234375,2107.0354175652365,2091.6306932379657,2102.3531166373136,1663419,2120.7239501953127,2058.4275244140626,
2020-08-26,2110.312744140625,2116.3059970704103,2075.616853209618,2099.5434534560823,2618149,2119.668078613281,2062.3659594726564,
2020-08-27,2105.536865234375,2142.012170207062,2099.3094968198957,2122.0186549766404,3579393,2118.211877441406,2066.390146484375,
2020-08-28,2096.312744140625,2135.0820997486503,2093.0820026112806,2124.2659401695873,2941136,2116.2055053710938,2070.1083837890624,
2020-08-31,2113.824462890625,2131.5703352387,2086.433006233387,2097.6705269132794,6018154,2116.3506469726562,2074.487998046875,
2020-09-01,2103.6171875,2133.256057515175,2098.8880183808847,2124.827916813842,3610908,2116.193798828125,2078.52611328125,
2020-09-02,2121.22265625,2124.5940043030573,2099.215842321131,2104.2259956667635,2084137,2116.458349609375,2082.7874047851565,
2020-09-03,2153.39013671875,2176.3334106259513,2123.8916416952056,2123.8916416952056,4654146,2116.0556640625,2088.179782714844,
